,f,m,cbse,icse,na,state,cbse,icse,na,state,B.Tech/B.E.,M.Sc. (Tech.),M.Tech./M.E.,MCA,computer,mechanical,biotechnology,science,applied,instrumentation,electronics,electrical,application,production,information,telecommunications,technology,civil,industrial,control,engineering,other,Andhra Pradesh,Assam,Bihar,Chhattisgarh,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Meghalaya,Orissa,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Union Territory,Uttar Pradesh,Uttarakhand,West Bengal,myDOB,12age,gradage,GraduationYear,12graduation,10percentage,12percentage,CollegeTier,collegeGPA,CollegeCityTier,English,Logical,Quant,Domain,ComputerProgramming,ElectronicsAndSemicon,ComputerScience,MechanicalEngg,ElectricalEngg,TelecomEngg,CivilEngg,conscientiousness,agreeableness,extraversion,nueroticism,openess_to_experience,Salary
0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1990,17,21,2011,2007,84.3,95.8,2,78,0,515,585,525,0.635978756,445,0,0,0,0,0,0,0.9737,0.8128,0.5269,1.3549,-0.4455,420000
1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1989,18,23,2012,2007,85.4,85,2,70.06,0,695,610,780,0.960603252,0,466,0,0,0,0,0,-0.7335,0.3789,1.2396,-0.1076,0.8637,500000
2,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1992,18,22,2014,2010,85,68.2,2,70,0,615,545,370,0.450876584,395,0,0,0,0,0,0,0.2718,1.7109,0.1637,-0.8682,0.6721,325000
3,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1989,18,22,2011,2007,85.6,83.6,1,74.64,1,635,585,625,0.974396113,615,0,0,0,0,0,0,0.0464,0.3448,-0.344,-0.4078,-0.9194,1100000
4,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1991,17,21,2012,2008,78,76.8,2,73.9,0,545,625,465,0.124502074,0,233,0,0,0,0,0,-0.881,-0.2793,-1.0697,0.09163,-0.1295,200000
5,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1992,18,22,2014,2010,89.92,87,2,76.32,0,560,555,620,0,645,0,407,0,0,0,0,-0.3027,-0.6201,-2.2954,-0.7415,-0.8608,300000
6,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1993,17,21,2014,2010,86.08,67.5,2,72.98,1,590,435,380,0.356536488,405,0,346,0,0,0,0,1.7081,-0.1054,-1.0379,-2.0092,-1.0872,300000
7,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1992,18,24,2016,2010,92,91,1,8.58,0,545,555,590,0.8295846,0,0,0,469,0,0,0,-0.0154,1.2114,0.01,0.1459,1.247,400000
8,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1991,18,22,2013,2009,90,91.2,1,85.03,1,615,670,530,0.694479328,735,366,0,0,0,0,0,-0.159,0.5454,-0.6048,-0.7415,-0.2859,600000
9,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1993,17,21,2014,2010,77,72.2,2,78,1,605,565,545,0.493596387,385,324,0,0,0,0,0,-1.308,0.5454,-0.9122,0.9066,0.0973,230000
10,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1989,17,21,2010,2006,88.6,83.7,2,74.9,0,565,455,565,0.765673581,485,0,0,0,0,0,0,0.0464,0.8128,0.0914,0.1798,0.0284,600000
11,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1990,17,21,2011,2007,81,86,1,72.29,0,495,605,715,0.968237496,605,0,0,0,0,0,0,-2.272,1.1248,0.8171,-0.4078,-0.4455,450000
12,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1990,18,23,2013,2008,83.6,69.83,2,60,0,380,580,470,0.229481755,0,266,0,0,0,206,0,0.1282,0.5454,-0.7585,-0.995,0.8637,270000
13,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1990,18,22,2012,2008,60.8,62.4,2,60,0,495,425,645,0.538386893,385,333,0,0,0,0,0,0.3555,0.0328,-0.598,-0.2902,-1.2354,200000
14,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1992,16,21,2013,2008,81.2,79.9,2,67.67,0,395,565,645,0,495,0,376,0,0,0,0,0.7027,0.7119,0.01,-0.995,0.6721,300000
15,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1990,18,22,2012,2008,69.54,64.43,2,63,0,485,520,355,0.308400583,355,0,0,0,0,0,0,1.7465,1.9048,0.672,-0.2902,1.2528,350000
16,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1992,18,22,2014,2010,85.8,74.8,2,64.8,0,685,530,620,0,515,0,0,0,0,0,0,1.1336,1.0449,0.7785,-0.6147,-0.8608,325000
17,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1987,19,26,2013,2006,60.8,66.66,2,74.74,1,465,585,515,0.911395278,545,0,500,0,0,0,0,0.8463,1.0449,-1.0659,-1.6289,0.6721,250000
18,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1992,16,21,2013,2008,65,64.8,2,69.54,0,465,495,515,0.563267824,425,0,0,0,0,0,0,-0.159,0.3789,1.3933,-0.2344,1.4386,120000
19,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1990,18,22,2012,2008,79,62.2,2,76.3,0,485,445,435,0.864685413,525,0,0,0,0,0,0,0.8192,0.2668,-0.2714,-0.4078,-0.1295,325000
20,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1988,18,22,2010,2006,91.2,84.63,2,78.15,0,455,535,445,0.635978756,445,0,0,0,0,0,0,-0.1082,0.9688,0.5269,-0.2902,0.3444,320000
21,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1991,16,21,2012,2007,75.67,74.4,2,74.01,0,385,555,445,0.635978756,445,0,0,0,0,0,0,-1.0355,-0.5913,-1.3599,0.06223,-1.3539,200000
22,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1992,17,21,2013,2009,92.5,95.2,2,76,0,395,455,485,0,455,0,0,0,0,0,0,-0.4463,-0.6201,-0.6048,0.7798,-2.7769,190000
23,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1986,20,28,2014,2006,70,43.42,2,55.52,1,370,360,270,0.649389715,0,356,0,0,0,0,0,-0.7335,-2.1186,-1.9881,-0.4879,-5.0763,180000
24,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1993,17,21,2014,2010,88,90,2,76,1,625,555,630,0.356536488,475,0,346,0,0,0,0,0.4155,0.8027,0.1357,-0.995,-0.6692,335000
25,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1991,17,21,2012,2008,86.8,82.8,2,78,0,575,585,575,0.744758354,565,0,438,0,0,0,0,0.0464,1.2028,-0.9245,0.5323,-0.2875,435000
26,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1988,18,22,2010,2006,90.88,82.5,2,66.15,0,415,335,405,0.884122512,535,333,0,313,0,0,320,0.8192,0.1888,-1.7954,1.8249,1.1343,345000
27,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1993,16,21,2014,2009,76.8,83,2,76.44,0,535,510,605,0.88162007,0,420,0,0,0,0,0,0.99,1.3779,0.7785,-0.2344,-0.6692,300000
28,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1994,17,21,2015,2011,84,68,2,72,0,580,570,385,0.20739217,335,260,0,0,0,313,0,0.1282,0.7119,1.3933,-0.3612,-0.0943,145000
29,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1992,18,22,2014,2010,64,74,2,68,0,485,375,435,0.486747008,345,0,376,0,0,0,0,-3.1994,-1.8393,0.0552,0.0623,-0.7615,220000
30,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1989,18,22,2011,2007,84,92,2,77.2,0,475,405,695,0.670743151,455,0,0,0,0,0,0,-0.4173,0.6568,-0.0537,-1.2303,-0.9194,530000
31,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1992,18,22,2014,2010,77.2,86.1,2,71,0,560,485,450,0.622642916,485,0,407,0,0,0,0,-0.0154,1.2114,1.0859,-1.5021,0.2889,340000
